,examine,id,members,lowalch,limit,value,highalch,icon,name
28,Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,True,46000.0,8.0,115002,69001.0,Abyssal dagger (p).png,Abyssal dagger (p)
29,Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,True,46001.0,8.0,115003,69001.0,Abyssal dagger (p+).png,Abyssal dagger (p+)
30,Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,True,46001.0,8.0,115004,69002.0,Abyssal dagger (p++).png,Abyssal dagger (p++)
31,A weapon from the Abyss.,4151,True,48000.0,70.0,120001,72000.0,Abyssal whip.png,Abyssal whip
32,These logs are longer than normal.,2862,True,1.0,13000.0,4,2.0,Achey tree logs.png,Achey tree logs
33,Plant this in a plantpot of soil to grow a sapling.,5312,True,2.0,200.0,6,3.0,Acorn 5.png,Acorn
34,A two handed sword.,1317,False,2560.0,125.0,6400,3840.0,Adamant 2h sword.png,Adamant 2h sword
35,Arrows with adamant heads.,890,False,32.0,11000.0,80,48.0,Adamant arrow 5.png,Adamant arrow
36,Venomous-looking arrows.,891,True,32.0,11000.0,80,48.0,Adamant arrow(p) 5.png,Adamant arrow(p)
37,Venomous-looking arrows.,5620,True,32.0,11000.0,80,48.0,Adamant arrow(p+) 5.png,Adamant arrow(p+)
38,Venomous-looking arrows.,5626,True,32.0,11000.0,80,48.0,Adamant arrow(p++) 5.png,Adamant arrow(p++)
39,I can make some arrows with these.,43,True,16.0,10000.0,40,24.0,Adamant arrowtips.png,Adamant arrowtips
40,A powerful axe.,1357,False,512.0,40.0,1280,768.0,Adamant axe.png,Adamant axe
41,A vicious looking axe.,1371,False,1664.0,125.0,4160,2496.0,Adamant battleaxe.png,Adamant battleaxe
42,Adamantite crossbow bolts.,9143,True,23.0,11000.0,58,34.0,Adamant bolts 5.png,Adamant bolts
43,Some poisoned adamantite bolts.,9290,True,23.0,11000.0,58,34.0,Adamant bolts (p) 5.png,Adamant bolts (p)
44,Some poisoned adamantite bolts.,9297,True,23.0,11000.0,58,34.0,Adamant bolts (p+) 5.png,Adamant bolts (p+)
45,Super poisoned adamantite bolts.,9304,True,23.0,11000.0,58,34.0,Adamant bolts (p++) 5.png,Adamant bolts (p++)
46,Unfeathered adamantite crossbow bolts.,9380,True,1.0,13000.0,1,1.0,Adamant bolts(unf) 5.png,Adamant bolts(unf)
47,These will protect my feet.,4129,True,768.0,125.0,1920,1152.0,Adamant boots.png,Adamant boots
48,Blunt adamantite arrow... ouch.,4798,True,38.0,11000.0,95,57.0,Adamant brutal 5.png,Adamant brutal
49,A diamond topped cane.,12377,True,576.0,4.0,1440,864.0,Adamant cane.png,Adamant cane
50,A series of connected metal rings.,1111,False,1920.0,125.0,4800,2880.0,Adamant chainbody.png,Adamant chainbody
51,A set of fighting claws.,3100,True,480.0,125.0,1200,720.0,Adamant claws.png,Adamant claws
52,An adamantite crossbow.,9183,True,706.0,70.0,1767,1060.0,Adamant crossbow.png,Adamant crossbow
53,An unstrung adamantite crossbow.,9463,True,693.0,10000.0,1733,1039.0,Adamant crossbow (u).png,Adamant crossbow (u)
54,Short and deadly.,1211,False,320.0,125.0,800,480.0,Adamant dagger.png,Adamant dagger
55,A very dangerous poisoned dagger.,1227,True,320.0,125.0,800,480.0,Adamant dagger(p).png,Adamant dagger(p)
56,A very dangerous poisoned dagger.,5676,True,320.0,125.0,800,480.0,Adamant dagger(p+).png,Adamant dagger(p+)
57,A very dangerous poisoned dagger.,5694,True,320.0,125.0,800,480.0,Adamant dagger(p++).png,Adamant dagger(p++)
58,A deadly throwing dart with an adamant tip.,810,True,26.0,11000.0,65,39.0,Adamant dart.png,Adamant dart
59,A deadly-looking dart tip made of adamant - needs feathers for flight.,823,True,14.0,20000.0,36,21.0,Adamant dart tip.png,Adamant dart tip
60,A deadly poisoned dart with an adamant tip.,816,True,26.0,11000.0,65,39.0,Adamant dart(p).png,Adamant dart(p)
61,A deadly poisoned dart with an adamant tip.,5633,True,26.0,11000.0,65,39.0,Adamant dart(p+).png,Adamant dart(p+)
62,A deadly poisoned dart with an adamant tip.,5640,True,26.0,11000.0,65,39.0,Adamant dart(p++).png,Adamant dart(p++)
63,Do I look scary?,23270,True,4000.0,4.0,10000,6000.0,Adamant dragon mask.png,Adamant dragon mask
64,A full face helmet.,1161,False,1408.0,125.0,3520,2112.0,Adamant full helm.png,Adamant full helm
65,Adamant full helmet with gold trim.,2613,False,1408.0,8.0,3520,2112.0,Adamant full helm (g).png,Adamant full helm (g)
66,Adamant full helmet with trim.,2605,False,1408.0,8.0,3520,2112.0,Adamant full helm (t).png,Adamant full helm (t)
67,"A set containing a full helm, platebody, legs and kiteshield.",13020,False,3200.0,8.0,8000,4800.0,Adamant gold-trimmed set (lg).png,Adamant gold-trimmed set (lg)
68,"A set containing a full helm, platebody, skirt and kiteshield.",13022,False,3200.0,8.0,8000,4800.0,Adamant gold-trimmed set (sk).png,Adamant gold-trimmed set (sk)
69,An adamant halberd.,3200,True,2560.0,125.0,6400,3840.0,Adamant halberd.png,Adamant halberd
70,"An adamant-tipped, one-handed hasta.",11375,True,832.0,125.0,2080,1248.0,Adamant hasta.png,Adamant hasta
71,"A poison-tipped, one-handed adamantite hasta.",11407,True,832.0,125.0,2080,1248.0,Adamant hasta(p).png,Adamant hasta(p)
72,"A poison-tipped, one-handed adamantite hasta.",11410,True,832.0,125.0,2080,1248.0,Adamant hasta(p+).png,Adamant hasta(p+)
73,"A poison-tipped, one-handed adamantite hasta.",11412,True,832.0,125.0,2080,1248.0,Adamant hasta(p++).png,Adamant hasta(p++)
74,An adamant helmet with a heraldic design.,10296,False,1408.0,70.0,3520,2112.0,Adamant helm (h1).png,Adamant helm (h1)
75,An adamant helmet with a heraldic design.,10298,False,1408.0,70.0,3520,2112.0,Adamant helm (h2).png,Adamant helm (h2)
76,An adamant helmet with a heraldic design.,10300,False,1408.0,70.0,3520,2112.0,Adamant helm (h3).png,Adamant helm (h3)
77,An adamant helmet with a heraldic design.,10302,False,1408.0,70.0,3520,2112.0,Adamant helm (h4).png,Adamant helm (h4)
78,An adamant helmet with a heraldic design.,10304,False,1408.0,70.0,3520,2112.0,Adamant helm (h5).png,Adamant helm (h5)
79,An adamant tipped javelin.,829,True,64.0,11000.0,160,96.0,Adamant javelin.png,Adamant javelin
80,Needs a shaft.,19578,True,176.0,10000.0,440,264.0,Adamant javelin heads 5.png,Adamant javelin heads
81,An adamant tipped javelin.,835,True,64.0,11000.0,160,96.0,Adamant javelin(p).png,Adamant javelin(p)
82,An adamant tipped javelin.,5646,True,64.0,11000.0,160,96.0,Adamant javelin(p+).png,Adamant javelin(p+)
83,An adamant tipped javelin.,5652,True,64.0,11000.0,160,96.0,Adamant javelin(p++).png,Adamant javelin(p++)
84,A large metal shield.,1199,False,2176.0,125.0,5440,3264.0,Adamant kiteshield.png,Adamant kiteshield
85,Adamant kiteshield with gold trim.,2611,False,2176.0,8.0,5440,3264.0,Adamant kiteshield (g).png,Adamant kiteshield (g)
86,Adamant kiteshield with trim.,2603,False,2176.0,8.0,5440,3264.0,Adamant kiteshield (t).png,Adamant kiteshield (t)
87,A finely balanced throwing knife.,867,True,26.0,11000.0,66,39.0,Adamant knife.png,Adamant knife
88,A finely balanced throwing knife.,875,True,26.0,11000.0,66,39.0,Adamant knife(p).png,Adamant knife(p)
89,A finely balanced throwing knife.,5659,True,26.0,7000.0,66,39.0,Adamant knife(p+).png,Adamant knife(p+)
90,A finely balanced throwing knife.,5666,True,26.0,7000.0,66,39.0,Adamant knife(p++).png,Adamant knife(p++)
91,A razor sharp longsword.,1301,False,1280.0,125.0,3200,1920.0,Adamant longsword.png,Adamant longsword
92,A spiky mace.,1430,False,576.0,125.0,1440,864.0,Adamant mace.png,Adamant mace
93,A medium sized helmet.,1145,False,768.0,125.0,1920,1152.0,Adamant med helm.png,Adamant med helm
94,Used for mining.,1271,False,1280.0,40.0,3200,1920.0,Adamant pickaxe.png,Adamant pickaxe
95,Provides excellent protection.,1123,False,6656.0,125.0,16640,9984.0,Adamant platebody.png,Adamant platebody
96,Adamant platebody with gold trim.,2607,False,6656.0,8.0,16640,9984.0,Adamant platebody (g).png,Adamant platebody (g)
97,Adamant platebody with a heraldic design.,23392,False,6656.0,8.0,16640,9984.0,Adamant platebody (h1).png,Adamant platebody (h1)
98,Adamant platebody with a heraldic design.,23395,False,6656.0,8.0,16640,9984.0,Adamant platebody (h2).png,Adamant platebody (h2)
99,Adamant platebody with a heraldic design.,23398,False,6656.0,8.0,16640,9984.0,Adamant platebody (h3).png,Adamant platebody (h3)
100,Adamant platebody with a heraldic design.,23401,False,6656.0,8.0,16640,9984.0,Adamant platebody (h4).png,Adamant platebody (h4)
101,Adamant platebody with a heraldic design.,23404,False,6656.0,8.0,16640,9984.0,Adamant platebody (h5).png,Adamant platebody (h5)
102,Adamant platebody with trim.,2599,False,6656.0,8.0,16640,9984.0,Adamant platebody (t).png,Adamant platebody (t)
103,These look pretty heavy.,1073,False,2560.0,125.0,6400,3840.0,Adamant platelegs.png,Adamant platelegs
104,Adamant platelegs with gold trim.,2609,False,2560.0,8.0,6400,3840.0,Adamant platelegs (g).png,Adamant platelegs (g)
105,Adamant platelegs with trim.,2601,False,2560.0,8.0,6400,3840.0,Adamant platelegs (t).png,Adamant platelegs (t)
106,Designer leg protection.,1091,False,2560.0,125.0,6400,3840.0,Adamant plateskirt.png,Adamant plateskirt
107,Adamant plateskirt with gold trim.,3475,False,2560.0,8.0,6400,3840.0,Adamant plateskirt (g).png,Adamant plateskirt (g)
108,Adamant plateskirt with trim.,3474,False,2560.0,8.0,6400,3840.0,Adamant plateskirt (t).png,Adamant plateskirt (t)
109,"A vicious, curved sword.",1331,False,1024.0,125.0,2560,1536.0,Adamant scimitar.png,Adamant scimitar
110,"A set containing a full helm, platebody, legs and kiteshield.",13012,False,3200.0,8.0,8000,4800.0,Adamant set (lg).png,Adamant set (lg)
111,"A set containing a full helm, platebody, skirt and kiteshield.",13014,False,3200.0,8.0,8000,4800.0,Adamant set (sk).png,Adamant set (sk)
112,A shield with a heraldic design,7334,False,2176.0,70.0,5440,3264.0,Adamant shield (h1).png,Adamant shield (h1)
113,A shield with a heraldic design,7340,False,2176.0,70.0,5440,3264.0,Adamant shield (h2).png,Adamant shield (h2)
114,A shield with a heraldic design,7346,False,2176.0,70.0,5440,3264.0,Adamant shield (h3).png,Adamant shield (h3)
115,A shield with a heraldic design,7352,False,2176.0,70.0,5440,3264.0,Adamant shield (h4).png,Adamant shield (h4)
116,A shield with a heraldic design,7358,False,2176.0,70.0,5440,3264.0,Adamant shield (h5).png,Adamant shield (h5)
117,An adamantite tipped spear.,1245,True,832.0,125.0,2080,1248.0,Adamant spear.png,Adamant spear
118,A poisoned adamantite tipped spear.,1259,True,832.0,125.0,2080,1248.0,Adamant spear(p).png,Adamant spear(p)
119,A poisoned adamantite tipped spear.,5712,True,832.0,125.0,2080,1248.0,Adamant spear(p+).png,Adamant spear(p+)
120,A poisoned adamantite tipped spear.,5726,True,832.0,125.0,2080,1248.0,Adamant spear(p++).png,Adamant spear(p++)
121,A medium square shield.,1183,False,1536.0,125.0,3840,2304.0,Adamant sq shield.png,Adamant sq shield
122,A razor sharp sword.,1287,False,832.0,125.0,2080,1248.0,Adamant sword.png,Adamant sword
123,A finely balanced throwing axe.,804,True,70.0,11000.0,176,105.0,Adamant thrownaxe.png,Adamant thrownaxe
124,"A set containing a full helm, platebody, legs and kiteshield.",13016,False,3200.0,8.0,8000,4800.0,Adamant trimmed set (lg).png,Adamant trimmed set (lg)
125,"A set containing a full helm, platebody, skirt and kiteshield.",13018,False,3200.0,8.0,8000,4800.0,Adamant trimmed set (sk).png,Adamant trimmed set (sk)
126,I don't think it's intended for joinery.,1345,False,1648.0,125.0,4120,2472.0,Adamant warhammer.png,Adamant warhammer
127,It's a bar of adamantite.,2361,False,256.0,10000.0,640,384.0,Adamantite bar.png,Adamantite bar
128,A pair of adamantite crossbow limbs.,9429,True,640.0,10000.0,1600,960.0,Adamantite limbs.png,Adamantite limbs
129,Keeps things in place fairly permanently.,4823,True,18.0,13000.0,45,27.0,Adamantite nails.png,Adamantite nails
130,This needs refining.,449,False,160.0,4500.0,400,240.0,Adamantite ore.png,Adamantite ore
131,Much tastier than a normal fish pie.,7198,True,124.0,10000.0,310,186.0,Admiral pie.png,Admiral pie
132,Wild!,12430,True,273.0,4.0,684,410.0,Afro.png,Afro
133,One dose of fishy Agility potion.,11463,True,20.0,2000.0,50,30.0,Agility mix(1).png,Agility mix(1)
134,Two doses of fishy Agility potion.,11461,True,40.0,2000.0,100,60.0,Agility mix(2).png,Agility mix(2)
135,1 dose of Agility potion.,3038,True,20.0,2000.0,50,30.0,Agility potion(1).png,Agility potion(1)
136,2 doses of Agility potion.,3036,True,40.0,2000.0,100,60.0,Agility potion(2).png,Agility potion(2)
137,3 doses of Agility potion.,3034,True,60.0,2000.0,150,90.0,Agility potion(3).png,Agility potion(3)
138,4 doses of Agility potion.,3032,True,80.0,2000.0,200,120.0,Agility potion(4).png,Agility potion(4)
139,"A set containing an Ahrim's hood, robetop, robeskirt and staff.",12881,True,80000.0,8.0,200000,120000.0,Ahrim's armour set.png,Ahrim's armour set
140,Ahrim the Blighted's leather hood.,4708,True,5200.0,15.0,13000,7800.0,Ahrim's hood.png,Ahrim's hood
141,Ahrim the Blighted's leather hood.,4860,True,5200.0,15.0,13000,7800.0,Ahrim's hood 0.png,Ahrim's hood 0
142,Ahrim the Blighted's armoured robe skirt.,4714,True,18800.0,15.0,47000,28200.0,Ahrim's robeskirt.png,Ahrim's robeskirt
143,Ahrim the Blighted's armoured robe skirt.,4878,True,18800.0,15.0,47000,28200.0,Ahrim's robeskirt 0.png,Ahrim's robeskirt 0
144,Ahrim the Blighted's armoured robe top.,4712,True,20000.0,15.0,50000,30000.0,Ahrim's robetop.png,Ahrim's robetop
145,Ahrim the Blighted's armoured robe top.,4872,True,20000.0,15.0,50000,30000.0,Ahrim's robetop 0.png,Ahrim's robetop 0
146,Ahrim the Blighted's quarterstaff.,4710,True,34000.0,15.0,85000,51000.0,Ahrim's staff.png,Ahrim's staff
147,Ahrim the Blighted's quarterstaff.,4866,True,34000.0,15.0,85000,51000.0,Ahrim's staff 0.png,Ahrim's staff 0
148,It's a slightly magical stick.,1397,True,6200.0,18000.0,15500,9300.0,Air battlestaff.png,Air battlestaff
149,A magic glowing orb.,573,True,120.0,11000.0,300,180.0,Air orb.png,Air orb
150,One of the 4 basic elemental Runes.,556,False,1.0,50000.0,4,2.0,Air rune.png,Air rune
151,A mysterious power emanates from the talisman...,1438,False,1.0,11000.0,4,2.0,Air talisman.png,Air talisman
152,A tiara infused with the properties of air.,5527,False,40.0,40.0,100,60.0,Air tiara.png,Air tiara
153,This is pretty well sealed.,4436,True,4.0,15.0,10,6.0,Airtight pot.png,Airtight pot
154,Ale of the gods.,20056,True,340.0,4.0,850,510.0,Ale of the gods.png,Ale of the gods
155,A pot filled with ale yeast.,5767,True,1.0,11000.0,1,1.0,Ale yeast.png,Ale yeast
156,Maybe I can make something with this.,21347,True,1560.0,13000.0,3900,2340.0,Amethyst.png,Amethyst
157,Arrows with amethyst heads.,21326,True,196.0,11000.0,490,294.0,Amethyst arrow 5.png,Amethyst arrow
158,Venomous-looking arrows.,21332,True,196.0,11000.0,490,294.0,Amethyst arrow(p) 5.png,Amethyst arrow(p)
159,Venomous-looking arrows.,21334,True,196.0,11000.0,490,294.0,Amethyst arrow(p+) 5.png,Amethyst arrow(p+)
160,Venomous-looking arrows.,21336,True,196.0,11000.0,490,294.0,Amethyst arrow(p++) 5.png,Amethyst arrow(p++)
161,I can make some arrows with these.,21350,True,98.0,10000.0,245,147.0,Amethyst arrowtips.png,Amethyst arrowtips
162,Amethyst bolt tips.,21338,True,64.0,11000.0,160,96.0,Amethyst bolt tips 5.png,Amethyst bolt tips
163,Crossbow bolts with amethyst broad tips.,21316,True,96.0,11000.0,240,144.0,Amethyst broad bolts 5.png,Amethyst broad bolts
164,A deadly throwing dart with an amethyst tip.,25849,True,160.0,11000.0,400,240.0,Amethyst dart.png,Amethyst dart
165,A deadly-looking dart tip made of amethyst - needs feathers for flight.,25853,True,80.0,11000.0,200,120.0,Amethyst dart tip.png,Amethyst dart tip
166,A deadly throwing dart with an amethyst tip.,25851,True,160.0,11000.0,400,240.0,Amethyst dart(p).png,Amethyst dart(p)
167,A deadly throwing dart with an amethyst tip.,25855,True,160.0,11000.0,400,240.0,Amethyst dart(p+).png,Amethyst dart(p+)
168,A deadly throwing dart with an amethyst tip.,25857,True,160.0,11000.0,400,240.0,Amethyst dart(p++).png,Amethyst dart(p++)
169,An amethyst tipped javelin.,21318,True,168.0,11000.0,420,252.0,Amethyst javelin.png,Amethyst javelin
170,Needs a shaft.,21352,True,608.0,10000.0,1520,912.0,Amethyst javelin heads 5.png,Amethyst javelin heads
171,An amethyst tipped javelin.,21320,True,168.0,7000.0,420,252.0,Amethyst javelin(p).png,Amethyst javelin(p)
172,An amethyst tipped javelin.,21322,True,168.0,7000.0,420,252.0,Amethyst javelin(p+).png,Amethyst javelin(p+)
173,An amethyst tipped javelin.,21324,True,168.0,7000.0,420,252.0,Amethyst javelin(p++).png,Amethyst javelin(p++)
174,Used to make amulets.,1595,False,2.0,40.0,5,3.0,Amulet mould.png,Amulet mould
175,It increases my aim.,1478,False,40.0,5.0,100,60.0,Amulet of accuracy.png,Amulet of accuracy
176,A hauntingly beautiful amulet bearing the shape of a skull.,22557,True,18000.0,8.0,45000,27000.0,Amulet of avarice.png,Amulet of avarice
177,Saves seeds when planting in allotments.,21160,True,360.0,10000.0,900,540.0,Amulet of bounty.png,Amulet of bounty
178,Useful when making potions - has the chance of giving an extra dose.,21163,True,420.0,10000.0,1050,630.0,Amulet of chemistry.png,Amulet of chemistry
179,An enchanted emerald amulet of protection.,1729,False,510.0,125.0,1275,765.0,Amulet of defence.png,Amulet of defence
180,An enchanted emerald amulet of protection that looks good.,23309,False,510.0,4.0,1275,765.0,Amulet of defence (t).png,Amulet of defence (t)
181,A dragonstone amulet with an unlimited supply of magic charges.,19707,True,7050.0,5.0,17625,10575.0,Amulet of eternal glory.png,Amulet of eternal glory
182,A very powerful onyx amulet.,6585,True,80800.0,8.0,202000,121200.0,Amulet of fury.png,Amulet of fury
183,A very powerful dragonstone amulet.,1704,True,7050.0,10000.0,17625,10575.0,Amulet of glory.png,Amulet of glory
184,A very powerful dragonstone amulet.,10362,True,7050.0,5.0,17625,10575.0,Amulet of glory (t).png,Amulet of glory (t)
185,A very powerful dragonstone amulet.,10354,True,7050.0,5.0,17625,10575.0,Amulet of glory (t4).png,Amulet of glory (t4)
186,A very powerful dragonstone amulet.,11964,True,7050.0,5.0,17625,10575.0,Amulet of glory (t6).png,Amulet of glory (t6)
187,A dragonstone amulet with 4 magic charges.,1712,True,7050.0,10000.0,17625,10575.0,Amulet of glory(4).png,Amulet of glory(4)
188,A dragonstone amulet with 6 magic charges.,11978,True,7050.0,10000.0,17625,10575.0,Amulet of glory(6).png,Amulet of glory(6)
189,An enchanted sapphire amulet of magic.,1727,False,360.0,125.0,900,540.0,Amulet of magic.png,Amulet of magic
190,An enchanted sapphire amulet of magic.,10366,False,360.0,5.0,900,540.0,Amulet of magic (t).png,Amulet of magic (t)
191,An enchanted diamond amulet of power.,1731,False,1410.0,125.0,3525,2115.0,Amulet of power.png,Amulet of power
192,An enchanted diamond amulet that looks good.,23354,False,1610.0,5.0,4025,2415.0,Amulet of power (t).png,Amulet of power (t)
193,An enchanted ruby amulet.,1725,False,810.0,125.0,2025,1215.0,Amulet of strength.png,Amulet of strength
194,Heirloom of an ancient family of Morytania.,12851,True,23200.0,8.0,58001,34800.0,Amulet of the damned (full).png,Amulet of the damned (full)
195,A deep sense of torture burns within this powerful amulet.,19553,True,80800.0,8.0,202000,121200.0,Amulet of torture.png,Amulet of torture
196,Good for enhancing a super energy potion.,12640,True,8.0,11000.0,20,12.0,Amylase crystal 5.png,Amylase crystal
197,The hat of a powerful sorceress from a bygone era.,21018,True,18000.0,8.0,45000,27000.0,Ancestral hat.png,Ancestral hat
198,The robe bottoms of a powerful sorceress from a bygone era.,21024,True,32000.0,8.0,80000,48000.0,Ancestral robe bottom.png,Ancestral robe bottom
199,The robe top of a powerful sorceress from a bygone era.,21021,True,48000.0,8.0,120000,72000.0,Ancestral robe top.png,Ancestral robe top
200,"A set containing an Ancestral hat, robe top and robe bottom.",21049,True,58000.0,5.0,145000,87000.0,Ancestral robes set.png,Ancestral robes set
201,Some nicely cooked anchovies.,319,False,6.0,15000.0,15,9.0,Anchovies.png,Anchovies
202,A pizza with anchovies.,2297,False,24.0,10000.0,60,36.0,Anchovy pizza.png,Anchovy pizza
203,"The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of progress.",20235,True,32.0,5.0,80,48.0,Ancient blessing.png,Ancient blessing
204,Ancient blessed dragonhide vambraces.,12490,True,1600.0,8.0,4000,2400.0,Ancient bracers.png,Ancient bracers
205,1 dose of Ancient brew.,26346,True,50.0,,125,75.0,Ancient brew(1).png,Ancient brew(1)
206,2 doses of Ancient brew.,26344,True,60.0,,150,90.0,Ancient brew(2).png,Ancient brew(2)
207,3 doses of Ancient brew.,26342,True,70.0,,175,105.0,Ancient brew(3).png,Ancient brew(3)
208,4 doses of Ancient brew.,26340,True,80.0,2000.0,200,120.0,Ancient brew(4).png,Ancient brew(4)
209,Some ceremonial boots dedicated to an ancient god.,26229,True,16000.0,8.0,40000,24000.0,Ancient ceremonial boots.png,Ancient ceremonial boots
210,Some ceremonial gloves dedicated to an ancient god.,26227,True,16000.0,8.0,40000,24000.0,Ancient ceremonial gloves.png,Ancient ceremonial gloves
211,Some ceremonial robes dedicated to an ancient god.,26223,True,32000.0,8.0,80000,48000.0,Ancient ceremonial legs.png,Ancient ceremonial legs
212,A ceremonial mask dedicated to an ancient god.,26225,True,20000.0,8.0,50000,30000.0,Ancient ceremonial mask.png,Ancient ceremonial mask
213,Some ceremonial robes dedicated to an ancient god.,26221,True,40000.0,8.0,100000,60000.0,Ancient ceremonial top.png,Ancient ceremonial top
214,Ancient blessed dragonhide chaps.,12494,True,2400.0,8.0,6000,3600.0,Ancient chaps.png,Ancient chaps
215,An Ancient cloak.,12197,True,800.0,8.0,2000,1200.0,Ancient cloak.png,Ancient cloak
216,Ancient blessed dragonhide coif.,12496,True,800.0,8.0,2000,1200.0,Ancient coif.png,Ancient coif
217,An Ancient crozier.,12199,True,2000.0,8.0,5000,3000.0,Ancient crozier.png,Ancient crozier
218,An ancient crystal containing magical energy.,21804,True,100000.0,250.0,250000,150000.0,Ancient crystal.png,Ancient crystal
219,Ancient blessed dragonhide body armour.,12492,True,5200.0,8.0,13000,7800.0,Ancient d'hide body.png,Ancient d'hide body
220,Ancient blessed dragonhide boots.,19921,True,3720.0,8.0,9300,5580.0,Ancient d'hide boots.png,Ancient d'hide boots
221,Ancient blessed wooden shield covered in dragon leather.,23197,True,11333.0,8.0,28334,17000.0,Ancient d'hide shield.png,Ancient d'hide shield
222,"A set containing an ancient dragonhide coif, body, chaps and bracers.",13171,True,3800.0,8.0,9500,5700.0,Ancient dragonhide set.png,Ancient dragonhide set
223,"A mysterious artifact of ancient times, very precious to emblem traders.",22302,True,3200000.0,250.0,8000000,4800000.0,Ancient effigy.png,Ancient effigy
224,"A mysterious artifact of ancient times, of some value to emblem traders.",21807,True,200000.0,250.0,500000,300000.0,Ancient emblem.png,Ancient emblem
225,Rune full helmet in the colours of a long-forgotten god.,12466,False,14080.0,8.0,35200,21120.0,Ancient full helm.png,Ancient full helm
226,"A mysterious, heavy sword.",26233,True,500000.0,,1250000,750000.0,Ancient godsword.png,Ancient godsword
227,Brimming with potential.,26370,True,200000.0,,500000,300000.0,Ancient hilt.png,Ancient hilt
228,Rune kiteshield in the colours of a long-forgotten god.,12468,False,21760.0,8.0,54400,32640.0,Ancient kiteshield.png,Ancient kiteshield
