examine,id,members,lowalch,limit,value,highalch,icon,name
A big do about nothing.,10392,True,800.0,4.0,2000,1200.0,A powdered wig.png,A powdered wig
A heap of ashes.,25775,True,1.0,7500.0,1,1.0,Abyssal ashes.png,Abyssal ashes
Elements of deceased Abyssal Sires have been fused together.,13263,True,104000.0,8.0,260000,156000.0,Abyssal bludgeon.png,Abyssal bludgeon
Makes using the Abyss just slightly safer.,11095,True,1680.0,10000.0,4200,2520.0,Abyssal bracelet.png,Abyssal bracelet(5)
Something sharp from the body of a defeated Abyssal Sire.,13265,True,46000.0,8.0,115001,69000.0,Abyssal dagger.png,Abyssal dagger
Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,True,46000.0,8.0,115002,69001.0,Abyssal dagger (p).png,Abyssal dagger (p)
Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,True,46001.0,8.0,115003,69001.0,Abyssal dagger (p+).png,Abyssal dagger (p+)
Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,True,46001.0,8.0,115004,69002.0,Abyssal dagger (p++).png,Abyssal dagger (p++)
A weapon from the abyss.,4151,True,48000.0,70.0,120001,72000.0,Abyssal whip.png,Abyssal whip
These logs are longer than normal.,2862,True,1.0,13000.0,4,2.0,Achey tree logs.png,Achey tree logs
Plant this in a plantpot of soil to grow a sapling.,5312,True,2.0,200.0,6,3.0,Acorn 5.png,Acorn
A two handed sword.,1317,False,2560.0,125.0,6400,3840.0,Adamant 2h sword.png,Adamant 2h sword
Arrows with adamant heads.,890,False,32.0,11000.0,80,48.0,Adamant arrow 5.png,Adamant arrow
Venomous-looking arrows.,891,True,32.0,11000.0,80,48.0,Adamant arrow(p) 5.png,Adamant arrow(p)
Venomous-looking arrows.,5620,True,32.0,11000.0,80,48.0,Adamant arrow(p+) 5.png,Adamant arrow(p+)
Venomous-looking arrows.,5626,True,32.0,11000.0,80,48.0,Adamant arrow(p++) 5.png,Adamant arrow(p++)
I can make some arrows with these.,43,True,16.0,10000.0,40,24.0,Adamant arrowtips.png,Adamant arrowtips
A powerful axe.,1357,False,512.0,40.0,1280,768.0,Adamant axe.png,Adamant axe
A vicious looking axe.,1371,False,1664.0,125.0,4160,2496.0,Adamant battleaxe.png,Adamant battleaxe
Adamantite crossbow bolts.,9143,True,23.0,11000.0,58,34.0,Adamant bolts 5.png,Adamant bolts
Some poisoned adamantite bolts.,9290,True,23.0,11000.0,58,34.0,Adamant bolts (p) 5.png,Adamant bolts (p)
Some poisoned adamantite bolts.,9297,True,23.0,11000.0,58,34.0,Adamant bolts (p+) 5.png,Adamant bolts (p+)
Super poisoned adamantite bolts.,9304,True,23.0,11000.0,58,34.0,Adamant bolts (p++) 5.png,Adamant bolts (p++)
Unfeathered adamantite crossbow bolts.,9380,True,1.0,13000.0,1,1.0,Adamant bolts(unf) 5.png,Adamant bolts(unf)
These will protect my feet.,4129,True,768.0,125.0,1920,1152.0,Adamant boots.png,Adamant boots
Blunt adamantite arrow... ouch.,4798,True,38.0,11000.0,95,57.0,Adamant brutal 5.png,Adamant brutal
A diamond topped cane.,12377,True,576.0,4.0,1440,864.0,Adamant cane.png,Adamant cane
A series of connected metal rings.,1111,False,1920.0,125.0,4800,2880.0,Adamant chainbody.png,Adamant chainbody
A set of fighting claws.,3100,True,480.0,125.0,1200,720.0,Adamant claws.png,Adamant claws
An adamantite crossbow.,9183,True,706.0,70.0,1767,1060.0,Adamant crossbow.png,Adamant crossbow
An unstrung adamantite crossbow.,9463,True,693.0,10000.0,1733,1039.0,Adamant crossbow (u).png,Adamant crossbow (u)
Short and deadly.,1211,False,320.0,125.0,800,480.0,Adamant dagger.png,Adamant dagger
A very dangerous poisoned dagger.,1227,True,320.0,125.0,800,480.0,Adamant dagger(p).png,Adamant dagger(p)
A very dangerous poisoned dagger.,5676,True,320.0,125.0,800,480.0,Adamant dagger(p+).png,Adamant dagger(p+)
A very dangerous poisoned dagger.,5694,True,320.0,125.0,800,480.0,Adamant dagger(p++).png,Adamant dagger(p++)
A deadly throwing dart with an adamant tip.,810,True,26.0,11000.0,65,39.0,Adamant dart.png,Adamant dart
A deadly-looking dart tip made of adamant - needs feathers for flight.,823,True,14.0,20000.0,36,21.0,Adamant dart tip.png,Adamant dart tip
A deadly poisoned dart with an adamant tip.,816,True,26.0,11000.0,65,39.0,Adamant dart(p).png,Adamant dart(p)
A deadly poisoned dart with an adamant tip.,5633,True,26.0,11000.0,65,39.0,Adamant dart(p+).png,Adamant dart(p+)
A deadly poisoned dart with an adamant tip.,5640,True,26.0,11000.0,65,39.0,Adamant dart(p++).png,Adamant dart(p++)
Do I look scary?,23270,True,4000.0,4.0,10000,6000.0,Adamant dragon mask.png,Adamant dragon mask
A full face helmet.,1161,False,1408.0,125.0,3520,2112.0,Adamant full helm.png,Adamant full helm
Adamant full helmet with gold trim.,2613,False,1408.0,8.0,3520,2112.0,Adamant full helm (g).png,Adamant full helm (g)
Adamant full helmet with trim.,2605,False,1408.0,8.0,3520,2112.0,Adamant full helm (t).png,Adamant full helm (t)
"A set containing a full helm, platebody, legs and kiteshield.",13020,False,3200.0,8.0,8000,4800.0,Adamant gold-trimmed set (lg).png,Adamant gold-trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13022,False,3200.0,8.0,8000,4800.0,Adamant gold-trimmed set (sk).png,Adamant gold-trimmed set (sk)
An adamant halberd.,3200,True,2560.0,125.0,6400,3840.0,Adamant halberd.png,Adamant halberd
"An adamant-tipped, one-handed hasta.",11375,True,832.0,125.0,2080,1248.0,Adamant hasta.png,Adamant hasta
"A poison-tipped, one-handed adamantite hasta.",11407,True,832.0,125.0,2080,1248.0,Adamant hasta(p).png,Adamant hasta(p)
"A poison-tipped, one-handed adamantite hasta.",11410,True,832.0,125.0,2080,1248.0,Adamant hasta(p+).png,Adamant hasta(p+)
"A poison-tipped, one-handed adamantite hasta.",11412,True,832.0,125.0,2080,1248.0,Adamant hasta(p++).png,Adamant hasta(p++)
An adamant helmet with a heraldic design.,10296,False,1408.0,70.0,3520,2112.0,Adamant helm (h1).png,Adamant helm (h1)
An adamant helmet with a heraldic design.,10298,False,1408.0,70.0,3520,2112.0,Adamant helm (h2).png,Adamant helm (h2)
An adamant helmet with a heraldic design.,10300,False,1408.0,70.0,3520,2112.0,Adamant helm (h3).png,Adamant helm (h3)
An adamant helmet with a heraldic design.,10302,False,1408.0,70.0,3520,2112.0,Adamant helm (h4).png,Adamant helm (h4)
An adamant helmet with a heraldic design.,10304,False,1408.0,70.0,3520,2112.0,Adamant helm (h5).png,Adamant helm (h5)
An adamant tipped javelin.,829,True,64.0,11000.0,160,96.0,Adamant javelin.png,Adamant javelin
Needs a shaft.,19578,True,176.0,10000.0,440,264.0,Adamant javelin heads 5.png,Adamant javelin heads
An adamant tipped javelin.,835,True,64.0,11000.0,160,96.0,Adamant javelin(p).png,Adamant javelin(p)
An adamant tipped javelin.,5646,True,64.0,11000.0,160,96.0,Adamant javelin(p+).png,Adamant javelin(p+)
An adamant tipped javelin.,5652,True,64.0,11000.0,160,96.0,Adamant javelin(p++).png,Adamant javelin(p++)
A large metal shield.,1199,False,2176.0,125.0,5440,3264.0,Adamant kiteshield.png,Adamant kiteshield
Adamant kiteshield with gold trim.,2611,False,2176.0,8.0,5440,3264.0,Adamant kiteshield (g).png,Adamant kiteshield (g)
Adamant kiteshield with trim.,2603,False,2176.0,8.0,5440,3264.0,Adamant kiteshield (t).png,Adamant kiteshield (t)
A finely balanced throwing knife.,867,True,26.0,11000.0,66,39.0,Adamant knife.png,Adamant knife
A finely balanced throwing knife.,875,True,26.0,11000.0,66,39.0,Adamant knife(p).png,Adamant knife(p)
A finely balanced throwing knife.,5659,True,26.0,7000.0,66,39.0,Adamant knife(p+).png,Adamant knife(p+)
A finely balanced throwing knife.,5666,True,26.0,7000.0,66,39.0,Adamant knife(p++).png,Adamant knife(p++)
A razor sharp longsword.,1301,False,1280.0,125.0,3200,1920.0,Adamant longsword.png,Adamant longsword
A spiky mace.,1430,False,576.0,125.0,1440,864.0,Adamant mace.png,Adamant mace
A medium sized helmet.,1145,False,768.0,125.0,1920,1152.0,Adamant med helm.png,Adamant med helm
Used for mining.,1271,False,1280.0,40.0,3200,1920.0,Adamant pickaxe.png,Adamant pickaxe
Provides excellent protection.,1123,False,6656.0,125.0,16640,9984.0,Adamant platebody.png,Adamant platebody
Adamant platebody with gold trim.,2607,False,6656.0,8.0,16640,9984.0,Adamant platebody (g).png,Adamant platebody (g)
Adamant platebody with a heraldic design.,23392,False,6656.0,8.0,16640,9984.0,Adamant platebody (h1).png,Adamant platebody (h1)
Adamant platebody with a heraldic design.,23395,False,6656.0,8.0,16640,9984.0,Adamant platebody (h2).png,Adamant platebody (h2)
Adamant platebody with a heraldic design.,23398,False,6656.0,8.0,16640,9984.0,Adamant platebody (h3).png,Adamant platebody (h3)
Adamant platebody with a heraldic design.,23401,False,6656.0,8.0,16640,9984.0,Adamant platebody (h4).png,Adamant platebody (h4)
Adamant platebody with a heraldic design.,23404,False,6656.0,8.0,16640,9984.0,Adamant platebody (h5).png,Adamant platebody (h5)
Adamant platebody with trim.,2599,False,6656.0,8.0,16640,9984.0,Adamant platebody (t).png,Adamant platebody (t)
These look pretty heavy.,1073,False,2560.0,125.0,6400,3840.0,Adamant platelegs.png,Adamant platelegs
Adamant platelegs with gold trim.,2609,False,2560.0,8.0,6400,3840.0,Adamant platelegs (g).png,Adamant platelegs (g)
Adamant platelegs with trim.,2601,False,2560.0,8.0,6400,3840.0,Adamant platelegs (t).png,Adamant platelegs (t)
Designer leg protection.,1091,False,2560.0,125.0,6400,3840.0,Adamant plateskirt.png,Adamant plateskirt
Adamant plateskirt with gold trim.,3475,False,2560.0,8.0,6400,3840.0,Adamant plateskirt (g).png,Adamant plateskirt (g)
Adamant plateskirt with trim.,3474,False,2560.0,8.0,6400,3840.0,Adamant plateskirt (t).png,Adamant plateskirt (t)
"A vicious, curved sword.",1331,False,1024.0,125.0,2560,1536.0,Adamant scimitar.png,Adamant scimitar
"A set containing a full helm, platebody, legs and kiteshield.",13012,False,3200.0,8.0,8000,4800.0,Adamant set (lg).png,Adamant set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13014,False,3200.0,8.0,8000,4800.0,Adamant set (sk).png,Adamant set (sk)
A shield with a heraldic design,7334,False,2176.0,70.0,5440,3264.0,Adamant shield (h1).png,Adamant shield (h1)
A shield with a heraldic design,7340,False,2176.0,70.0,5440,3264.0,Adamant shield (h2).png,Adamant shield (h2)
A shield with a heraldic design,7346,False,2176.0,70.0,5440,3264.0,Adamant shield (h3).png,Adamant shield (h3)
A shield with a heraldic design,7352,False,2176.0,70.0,5440,3264.0,Adamant shield (h4).png,Adamant shield (h4)
A shield with a heraldic design,7358,False,2176.0,70.0,5440,3264.0,Adamant shield (h5).png,Adamant shield (h5)
An adamantite tipped spear.,1245,True,832.0,125.0,2080,1248.0,Adamant spear.png,Adamant spear
A poisoned adamantite tipped spear.,1259,True,832.0,125.0,2080,1248.0,Adamant spear(p).png,Adamant spear(p)
A poisoned adamantite tipped spear.,5712,True,832.0,125.0,2080,1248.0,Adamant spear(p+).png,Adamant spear(p+)
A poisoned adamantite tipped spear.,5726,True,832.0,125.0,2080,1248.0,Adamant spear(p++).png,Adamant spear(p++)
A medium square shield.,1183,False,1536.0,125.0,3840,2304.0,Adamant sq shield.png,Adamant sq shield
A razor sharp sword.,1287,False,832.0,125.0,2080,1248.0,Adamant sword.png,Adamant sword
A finely balanced throwing axe.,804,True,70.0,11000.0,176,105.0,Adamant thrownaxe.png,Adamant thrownaxe
"A set containing a full helm, platebody, legs and kiteshield.",13016,False,3200.0,8.0,8000,4800.0,Adamant trimmed set (lg).png,Adamant trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13018,False,3200.0,8.0,8000,4800.0,Adamant trimmed set (sk).png,Adamant trimmed set (sk)
I don't think it's intended for joinery.,1345,False,1648.0,125.0,4120,2472.0,Adamant warhammer.png,Adamant warhammer
It's a bar of adamantite.,2361,False,256.0,10000.0,640,384.0,Adamantite bar.png,Adamantite bar
A pair of adamantite crossbow limbs.,9429,True,640.0,10000.0,1600,960.0,Adamantite limbs.png,Adamantite limbs
Keeps things in place fairly permanently.,4823,True,18.0,13000.0,45,27.0,Adamantite nails.png,Adamantite nails
This needs refining.,449,False,160.0,4500.0,400,240.0,Adamantite ore.png,Adamantite ore
Much tastier than a normal fish pie.,7198,True,124.0,10000.0,310,186.0,Admiral pie.png,Admiral pie
Wild!,12430,True,273.0,4.0,684,410.0,Afro.png,Afro
One dose of fishy Agility potion.,11463,True,20.0,2000.0,50,30.0,Agility mix(1).png,Agility mix(1)
Two doses of fishy Agility potion.,11461,True,40.0,2000.0,100,60.0,Agility mix(2).png,Agility mix(2)
1 dose of Agility potion.,3038,True,20.0,2000.0,50,30.0,Agility potion(1).png,Agility potion(1)
2 doses of Agility potion.,3036,True,40.0,2000.0,100,60.0,Agility potion(2).png,Agility potion(2)
3 doses of Agility potion.,3034,True,60.0,2000.0,150,90.0,Agility potion(3).png,Agility potion(3)
4 doses of Agility potion.,3032,True,80.0,2000.0,200,120.0,Agility potion(4).png,Agility potion(4)
"A set containing an Ahrim's hood, robetop, robeskirt and staff.",12881,True,80000.0,8.0,200000,120000.0,Ahrim's armour set.png,Ahrim's armour set
Ahrim the Blighted's leather hood.,4708,True,5200.0,15.0,13000,7800.0,Ahrim's hood.png,Ahrim's hood
Ahrim the Blighted's leather hood.,4860,True,5200.0,15.0,13000,7800.0,Ahrim's hood 0.png,Ahrim's hood 0
Ahrim the Blighted's armoured robe skirt.,4714,True,18800.0,15.0,47000,28200.0,Ahrim's robeskirt.png,Ahrim's robeskirt
Ahrim the Blighted's armoured robe skirt.,4878,True,18800.0,15.0,47000,28200.0,Ahrim's robeskirt 0.png,Ahrim's robeskirt 0
Ahrim the Blighted's armoured robe top.,4712,True,20000.0,15.0,50000,30000.0,Ahrim's robetop.png,Ahrim's robetop
Ahrim the Blighted's armoured robe top.,4872,True,20000.0,15.0,50000,30000.0,Ahrim's robetop 0.png,Ahrim's robetop 0
Ahrim the Blighted's quarterstaff.,4710,True,34000.0,15.0,85000,51000.0,Ahrim's staff.png,Ahrim's staff
Ahrim the Blighted's quarterstaff.,4866,True,34000.0,15.0,85000,51000.0,Ahrim's staff 0.png,Ahrim's staff 0
It's a slightly magical stick.,1397,True,6200.0,18000.0,15500,9300.0,Air battlestaff.png,Air battlestaff
A magic glowing orb.,573,True,120.0,11000.0,300,180.0,Air orb.png,Air orb
One of the 4 basic elemental Runes.,556,False,1.0,50000.0,4,2.0,Air rune.png,Air rune
A mysterious power emanates from the talisman...,1438,False,1.0,11000.0,4,2.0,Air talisman.png,Air talisman
A tiara infused with the properties of air.,5527,False,40.0,40.0,100,60.0,Air tiara.png,Air tiara
This is pretty well sealed.,4436,True,4.0,15.0,10,6.0,Airtight pot.png,Airtight pot
Ale of the gods.,20056,True,340.0,4.0,850,510.0,Ale of the gods.png,Ale of the gods
A pot filled with ale yeast.,5767,True,1.0,11000.0,1,1.0,Ale yeast.png,Ale yeast
Maybe I can make something with this.,21347,True,1560.0,13000.0,3900,2340.0,Amethyst.png,Amethyst
Arrows with amethyst heads.,21326,True,196.0,11000.0,490,294.0,Amethyst arrow 5.png,Amethyst arrow
Venomous-looking arrows.,21332,True,196.0,11000.0,490,294.0,Amethyst arrow(p) 5.png,Amethyst arrow(p)
Venomous-looking arrows.,21334,True,196.0,11000.0,490,294.0,Amethyst arrow(p+) 5.png,Amethyst arrow(p+)
Venomous-looking arrows.,21336,True,196.0,11000.0,490,294.0,Amethyst arrow(p++) 5.png,Amethyst arrow(p++)
I can make some arrows with these.,21350,True,98.0,10000.0,245,147.0,Amethyst arrowtips.png,Amethyst arrowtips
Amethyst bolt tips.,21338,True,64.0,11000.0,160,96.0,Amethyst bolt tips 5.png,Amethyst bolt tips
Crossbow bolts with amethyst broad tips.,21316,True,96.0,11000.0,240,144.0,Amethyst broad bolts 5.png,Amethyst broad bolts
A deadly throwing dart with an amethyst tip.,25849,True,160.0,11000.0,400,240.0,Amethyst dart.png,Amethyst dart
A deadly-looking dart tip made of amethyst - needs feathers for flight.,25853,True,80.0,11000.0,200,120.0,Amethyst dart tip.png,Amethyst dart tip
A deadly throwing dart with an amethyst tip.,25851,True,160.0,11000.0,400,240.0,Amethyst dart(p).png,Amethyst dart(p)
A deadly throwing dart with an amethyst tip.,25855,True,160.0,11000.0,400,240.0,Amethyst dart(p+).png,Amethyst dart(p+)
A deadly throwing dart with an amethyst tip.,25857,True,160.0,11000.0,400,240.0,Amethyst dart(p++).png,Amethyst dart(p++)
An amethyst tipped javelin.,21318,True,168.0,11000.0,420,252.0,Amethyst javelin.png,Amethyst javelin
Needs a shaft.,21352,True,608.0,10000.0,1520,912.0,Amethyst javelin heads 5.png,Amethyst javelin heads
An amethyst tipped javelin.,21320,True,168.0,7000.0,420,252.0,Amethyst javelin(p).png,Amethyst javelin(p)
An amethyst tipped javelin.,21322,True,168.0,7000.0,420,252.0,Amethyst javelin(p+).png,Amethyst javelin(p+)
An amethyst tipped javelin.,21324,True,168.0,7000.0,420,252.0,Amethyst javelin(p++).png,Amethyst javelin(p++)
Used to make gold amulets.,1595,False,2.0,40.0,5,3.0,Amulet mould.png,Amulet mould
It increases my aim.,1478,False,40.0,5.0,100,60.0,Amulet of accuracy.png,Amulet of accuracy
A hauntingly beautiful amulet bearing the shape of a skull.,22557,True,18000.0,8.0,45000,27000.0,Amulet of avarice.png,Amulet of avarice
Saves seeds when planting in allotments.,21160,True,360.0,10000.0,900,540.0,Amulet of bounty.png,Amulet of bounty
Useful when making potions - has the chance of giving an extra dose.,21163,True,420.0,10000.0,1050,630.0,Amulet of chemistry.png,Amulet of chemistry
An enchanted emerald amulet of protection.,1729,False,510.0,125.0,1275,765.0,Amulet of defence.png,Amulet of defence
An enchanted emerald amulet of protection that looks good.,23309,False,510.0,4.0,1275,765.0,Amulet of defence (t).png,Amulet of defence (t)
A dragonstone amulet with an unlimited supply of magic charges.,19707,True,7050.0,5.0,17625,10575.0,Amulet of eternal glory.png,Amulet of eternal glory
A very powerful onyx amulet.,6585,True,80800.0,8.0,202000,121200.0,Amulet of fury.png,Amulet of fury
A very powerful dragonstone amulet.,1704,True,7050.0,10000.0,17625,10575.0,Amulet of glory.png,Amulet of glory
A very powerful dragonstone amulet.,10362,True,7050.0,5.0,17625,10575.0,Amulet of glory (t).png,Amulet of glory (t)
A very powerful dragonstone amulet.,10354,True,7050.0,5.0,17625,10575.0,Amulet of glory (t4).png,Amulet of glory (t4)
A very powerful dragonstone amulet.,11964,True,7050.0,5.0,17625,10575.0,Amulet of glory (t6).png,Amulet of glory (t6)
A dragonstone amulet with 4 magic charges.,1712,True,7050.0,10000.0,17625,10575.0,Amulet of glory(4).png,Amulet of glory(4)
A dragonstone amulet with 6 magic charges.,11978,True,7050.0,10000.0,17625,10575.0,Amulet of glory(6).png,Amulet of glory(6)
An enchanted sapphire amulet of magic.,1727,False,360.0,125.0,900,540.0,Amulet of magic.png,Amulet of magic
An enchanted sapphire amulet of magic.,10366,False,360.0,5.0,900,540.0,Amulet of magic (t).png,Amulet of magic (t)
An enchanted diamond amulet of power.,1731,False,1410.0,125.0,3525,2115.0,Amulet of power.png,Amulet of power
An enchanted diamond amulet that looks good.,23354,False,1610.0,5.0,4025,2415.0,Amulet of power (t).png,Amulet of power (t)
An enchanted ruby amulet.,1725,False,810.0,125.0,2025,1215.0,Amulet of strength.png,Amulet of strength
Heirloom of an ancient family of Morytania.,12851,True,23200.0,8.0,58001,34800.0,Amulet of the damned (full).png,Amulet of the damned (full)
A deep sense of torture burns within this powerful amulet.,19553,True,80800.0,8.0,202000,121200.0,Amulet of torture.png,Amulet of torture
Good for enhancing a super energy potion.,12640,True,8.0,11000.0,20,12.0,Amylase crystal 5.png,Amylase crystal
The hat of a powerful sorceress from a bygone era.,21018,True,18000.0,8.0,45000,27000.0,Ancestral hat.png,Ancestral hat
The robe bottoms of a powerful sorceress from a bygone era.,21024,True,32000.0,8.0,80000,48000.0,Ancestral robe bottom.png,Ancestral robe bottom
The robe top of a powerful sorceress from a bygone era.,21021,True,48000.0,8.0,120000,72000.0,Ancestral robe top.png,Ancestral robe top
"A set containing an Ancestral hat, robe top and robe bottom.",21049,True,58000.0,5.0,145000,87000.0,Ancestral robes set.png,Ancestral robes set
Some nicely cooked anchovies.,319,False,6.0,15000.0,15,9.0,Anchovies.png,Anchovies
A pizza with anchovies.,2297,False,24.0,10000.0,60,36.0,Anchovy pizza.png,Anchovy pizza
"The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of Zarosian progress.",20235,True,32.0,5.0,80,48.0,Ancient blessing.png,Ancient blessing
Ancient blessed dragonhide vambraces.,12490,True,1600.0,8.0,4000,2400.0,Ancient bracers.png,Ancient bracers
1 dose of Ancient brew.,26346,True,50.0,,125,75.0,Ancient brew(1).png,Ancient brew(1)
2 doses of Ancient brew.,26344,True,60.0,,150,90.0,Ancient brew(2).png,Ancient brew(2)
3 doses of Ancient brew.,26342,True,70.0,,175,105.0,Ancient brew(3).png,Ancient brew(3)
4 doses of Ancient brew.,26340,True,80.0,,200,120.0,Ancient brew(4).png,Ancient brew(4)
Some ceremonial boots dedicated to an ancient god.,26229,True,16000.0,,40000,24000.0,Ancient ceremonial boots.png,Ancient ceremonial boots
Some ceremonial gloves dedicated to an ancient god.,26227,True,16000.0,,40000,24000.0,Ancient ceremonial gloves.png,Ancient ceremonial gloves
Some ceremonial robes dedicated to an ancient god.,26223,True,32000.0,,80000,48000.0,Ancient ceremonial legs.png,Ancient ceremonial legs
A ceremonial mask dedicated to an ancient god.,26225,True,20000.0,,50000,30000.0,Ancient ceremonial mask.png,Ancient ceremonial mask
Some ceremonial robes dedicated to an ancient god.,26221,True,40000.0,,100000,60000.0,Ancient ceremonial top.png,Ancient ceremonial top
Ancient blessed dragonhide chaps.,12494,True,2400.0,8.0,6000,3600.0,Ancient chaps.png,Ancient chaps
An Ancient cloak.,12197,True,800.0,8.0,2000,1200.0,Ancient cloak.png,Ancient cloak
Ancient blessed dragonhide coif.,12496,True,800.0,8.0,2000,1200.0,Ancient coif.png,Ancient coif
An Ancient crozier.,12199,True,2000.0,8.0,5000,3000.0,Ancient crozier.png,Ancient crozier
An ancient crystal containing magical energy.,21804,True,100000.0,250.0,250000,150000.0,Ancient crystal.png,Ancient crystal
Ancient blessed dragonhide body armour.,12492,True,5200.0,8.0,13000,7800.0,Ancient d'hide body.png,Ancient d'hide body
Ancient blessed dragonhide boots.,19921,True,3720.0,8.0,9300,5580.0,Ancient d'hide boots.png,Ancient d'hide boots
Ancient blessed wooden shield covered in dragon leather.,23197,True,11333.0,8.0,28334,17000.0,Ancient d'hide shield.png,Ancient d'hide shield
"A set containing an ancient dragonhide coif, body, chaps and bracers.",13171,True,3800.0,8.0,9500,5700.0,Ancient dragonhide set.png,Ancient dragonhide set
"A mysterious artifact of ancient times, very precious to emblem traders.",22302,True,3200000.0,250.0,8000000,4800000.0,Ancient effigy.png,Ancient effigy
"A mysterious artifact of ancient times, of some value to emblem traders.",21807,True,200000.0,250.0,500000,300000.0,Ancient emblem.png,Ancient emblem
Rune full helmet in the colours of a long-forgotten god.,12466,False,14080.0,8.0,35200,21120.0,Ancient full helm.png,Ancient full helm
"A mysterious, heavy sword.",26233,True,500000.0,,1250000,750000.0,Ancient godsword.png,Ancient godsword
Brimming with potential.,26370,True,200000.0,,500000,300000.0,Ancient hilt.png,Ancient hilt
Rune kiteshield in the colours of a long-forgotten god.,12468,False,21760.0,8.0,54400,32640.0,Ancient kiteshield.png,Ancient kiteshield
It has ancient goblin symbols on it.,11061,True,400.0,8.0,1000,600.0,Ancient mace.png,Ancient mace
"A mysterious artifact of ancient times, precious to emblem traders.",22299,True,1600000.0,250.0,4000000,2400000.0,Ancient medallion.png,Ancient medallion
An Ancient mitre.,12203,True,2000.0,8.0,5000,3000.0,Ancient mitre.png,Ancient mitre
One dose of fishy ancient brew.,26353,True,50.0,,125,75.0,Ancient mix(1).png,Ancient mix(1)
Two doses of fishy ancient brew.,26350,True,60.0,,150,90.0,Ancient mix(2).png,Ancient mix(2)
This seems to have been torn from a book...,12621,True,160.0,5.0,400,240.0,Ancient page 1.png,Ancient page 1
This seems to have been torn from a book...,12622,True,160.0,5.0,400,240.0,Ancient page 2.png,Ancient page 2
This seems to have been torn from a book...,12623,True,160.0,5.0,400,240.0,Ancient page 3.png,Ancient page 3
This seems to have been torn from a book...,12624,True,160.0,5.0,400,240.0,Ancient page 4.png,Ancient page 4
